0020 ACC 2016-01-12 14:43:31 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0021 ACC 2016-01-12 14:44:01 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0022 ACC 2016-01-12 14:44:01 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0023 ACC 2016-01-12 14:44:04 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0024 ACC 2016-01-12 14:44:04 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0025 ACC 2016-01-12 14:44:06 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0026 ACC 2016-01-12 14:44:06 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0027 ACC 2016-01-12 14:44:31 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 502 172 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0028 ACC 2016-01-12 14:44:32 UTC -       192.168.100.200 [GET / HTTP/1.1 502 172 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0029 ACC 2016-01-12 14:44:48 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0030 ACC 2016-01-12 14:44:48 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0031 ACC 2016-01-12 14:45:25 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0032 ACC 2016-01-12 14:45:25 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0033 ACC 2016-01-12 14:46:25 UTC -       192.168.100.200 [GET /favicon.ico HTTP/1.1 502 172 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0034 ACC 2016-01-12 15:02:09 UTC -       192.168.100.200 [GET / HTTP/1.1 499 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0035 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET / HTTP/1.1 200 1782 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0036 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/css/bootstrap.min.css HTTP/1.1 200 21592 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0037 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/css/bootstrap-theme.min.css HTTP/1.1 200 2004 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0038 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/js/underscore.string.min.js HTTP/1.1 200 3590 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0039 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/css/screen.css HTTP/1.1 200 668 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0040 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/css/yamm.css HTTP/1.1 200 459 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0041 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/js/underscore.js HTTP/1.1 200 6001 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0042 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/js/bootstrap.min.js HTTP/1.1 200 9180 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0043 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/js/jquery.cookie.js HTTP/1.1 200 1460 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0044 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/js/login.js HTTP/1.1 200 196 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0045 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/js/base.js HTTP/1.1 200 742 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0046 ACC 2016-01-12 15:02:55 UTC -       192.168.100.200 [GET /static/js/navbar.js HTTP/1.1 200 295 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0047 ACC 2016-01-12 15:04:03 UTC -       192.168.100.200 [POST /login HTTP/1.1 302 0 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0048 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /dashboard HTTP/1.1 200 4902 https://enterprise:3031/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0049 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/graph.css HTTP/1.1 200 1077 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0050 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/dashboard.css HTTP/1.1 200 70 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0051 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/detail.css HTTP/1.1 200 558 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0052 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/legend.css HTTP/1.1 200 533 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0053 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/jquery.easy-pie-chart.css HTTP/1.1 200 221 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0054 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/morris.css HTTP/1.1 200 276 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
